Unnamed: 0,country,capacity_mw,lat,lon,primary_fuel,Solar Generation (2017),province
20866,ESP,791.6800000000002,36.1955,-5.4131,Gas,1876.54,Ceuta
20867,ESP,34.68,42.5103,-5.872999999999999,Hydro,46.08,Leon
20868,ESP,53.15,43.4949,-7.2421,Hydro,99.47,Lugo
20869,ESP,396.4,43.34,-3.0539,Gas,939.59,Vizcaya
20870,ESP,55.56,41.946999999999996,2.3844,Hydro,81.97,Girona
20871,ESP,516.39,41.045,-6.8067,Hydro,1008.82,Salamanca
20872,ESP,19.25,41.4833,0.4667,Hydro,38.18,Tarragona
20873,ESP,44.24,41.4744,0.4534,Hydro,78.95,Tarragona
20874,ESP,75.0,41.6485,1.5914,Wind,194.42,Barcelona
20875,ESP,40.5,42.1555,2.2828,Wind,102.13,Girona
20876,ESP,49.5,42.3833,2.2667,Wind,119.51,Girona
20877,ESP,24.42,41.5406,-1.7166,Wind,51.93,Zaragoza
20878,ESP,81.53999999999998,40.7149,-4.0053,Hydro,165.17,Madrid
20879,ESP,93.0,42.5273,-8.0086,Gas,220.44,Ourense
20880,ESP,44.25,42.4139,-6.9191,Hydro,71.97,Lugo
20881,ESP,27.78,42.7778,-3.0458,Hydro,61.02,alava
20882,ESP,200.0,39.226,-5.3905,Solar,397.0,Caceres
20883,ESP,49.9,37.6522,-5.2722,Solar,102.13,Sevilla
20884,ESP,563.75,39.65,2.6807,Oil,1174.57,Illes Balears
